state;location;zipcode;lon;lat
01;Schleswig-Holstein;;;
01;Flensburg, Stadt;;;
01;Flensburg, Stadt;;;
01;Flensburg, Stadt;24937;9,43751;54,78252
01;Kiel, Landeshauptstadt;;;
01;Kiel, Landeshauptstadt;;;
01;Kiel, Landeshauptstadt;24103;10,13727;54,321775
01;Lübeck, Hansestadt;;;
01;Lübeck, Hansestadt;;;
01;Lübeck, Hansestadt;23539;10,683932;53,866269
01;Neumünster, Stadt;;;
01;Neumünster, Stadt;;;
01;Neumünster, Stadt;24534;9,988422;54,069895
01;Dithmarschen;;;
01;Brunsbüttel, Stadt;;;
01;Brunsbüttel, Stadt;25541;9,13735;53,896932
01;Heide, Stadt;;;
01;Heide, Stadt;25746;9,091156;54,193962
01;Burg-St. Michaelisdonn;;;
01;Averlak;25715;9,182663;53,941154
01;Brickeln;25712;9,221166;54,00849
01;Buchholz;25712;9,223774;53,987132
01;Burg (Dithmarschen);25712;9,26246;53,99748
01;Dingen;25715;9,125804;53,960888
01;Eddelak;25715;9,137433;53,945888
01;Eggstedt;25721;9,25927;54,054535
01;Frestedt;25727;9,175759;54,023639
01;Großenrade;25712;9,223435;54,02206
01;Hochdonn;25712;9,293145;54,019564
01;Kuden;25712;9,192822;53,967853
01;Quickborn;25712;9,206618;54,009984
01;Sankt Michaelisdonn;25693;9,122148;53,994438
01;Süderhastedt;25727;9,20886;54,04991
01;Marne-Nordsee;;;
01;Diekhusen-Fahrstedt;25709;9,023165;53,946249
01;Friedrichskoog;25718;8,89741;54,013926
01;Helse;25709;9,010226;53,977556
01;Kaiser-Wilhelm-Koog;25709;8,926364;53,942933
01;Kronprinzenkoog;25709;8,964528;53,97171
01;Marne, Stadt;25709;9,008761;53,953695
01;Marnerdeich;25709;8,982956;53,948483
01;Neufeld;25724;9,019046;53,907224
01;Neufelderkoog;25724;8,968827;53,906958
01;Ramhusen;25715;9,090658;53,941207
01;Schmedeswurth;25724;9,040335;53,926172
01;Trennewurth;25693;9,025792;54,000236
01;Volsemenhusen;25693;9,065625;53,967901
01;Eider;;;
01;Barkenholm;25791;9,174339;54,237387
01;Bergewöhrden;25779;9,209426;54,318469
01;Dellstedt;25786;9,369143;54,237892
01;Delve;25788;9,252365;54,303978
01;Dörpling;25794;9,301925;54,260654
01;Fedderingen;25779;9,132642;54,281144
01;Gaushorn;25782;9,225318;54,194896
01;Glüsing;25779;9,216421;54,274547
01;Groven;25774;8,989147;54,300165
01;Hemme;25774;9,010966;54,28021
01;Hennstedt;25779;9,168248;54,283636
01;Hövede;25782;9,293409;54,243806
01;Hollingstedt;25788;9,226797;54,290548
01;Karolinenkoog;25774;8,965495;54,292554
01;Kleve;25779;9,123229;54,295706
01;Krempel;25774;9,027607;54,320019
01;Lehe;25774;9,025334;54,344168
01;Linden;25791;9,182428;54,252623
01;Lunden;25774;9,024249;54,330568
01;Norderheistedt;25779;9,146139;54,245331
01;Pahlen;25794;9,296387;54,267813
01;Rehm-Flehde-Bargen;25776;9,036287;54,303981
01;Sankt Annen;25776;9,07975;54,345413
01;Schalkholz;25782;9,257028;54,246244
01;Schlichting;25779;9,089378;54,31014
01;Tellingstedt;25782;9,2822;54,219944
01;Tielenhemme;25794;9,398414;54,27746
01;Wallen;25788;9,269563;54,284766
01;Welmbüttel;25782;9,246826;54,196873
01;Westerborstel;25782;9,260601;54,220127
01;Wiemerstedt;25779;9,11111;54,269259
01;Wrohm;25799;9,379505;54,212642
01;Süderdorf;25782;9,343678;54,220732
01;Süderheistedt;25779;9,148463;54,23483
01;Heider Umland;;;
01;Hemmingstedt;25770;9,073156;54,14876
01;Lieth;25770;9,060773;54,15531
01;Lohe-Rickelshof;25746;9,065603;54,187725
01;Neuenkirchen;25792;8,987884;54,235602
01;Norderwöhrden;25746;9,000232;54,192783
01;Nordhastedt;25785;9,182991;54,17205
01;Ostrohe;25746;9,130804;54,214
01;Stelle-Wittenwurth;25795;9,066849;54,254357
01;Wöhrden;25797;8,994508;54,165463
01;Weddingstedt;25795;9,088863;54,239275
01;Wesseln;25746;9,075443;54,208327
01;Mitteldithmarschen;;;
01;Albersdorf;25767;9,283995;54,146557
01;Arkebek;25767;9,250362;54,160197
01;Bargenstedt;25704;9,144199;54,095594
01;Barlt;25719;9,058002;54,012444
01;Bunsoh;25767;9,320225;54,165522
01;Busenwurth;25719;9,041298;54,041407
01;Elpersbüttel;25704;9,047156;54,072963
